ID State,State,ID Year,Year,Average Commute Time,Slug State
"04000US01","Alabama",2018,"2018",24.347943927041324,"alabama"
"04000US02","Alaska",2018,"2018",18.045866241984452,"alaska"
"04000US04","Arizona",2018,"2018",24.008393535409027,"arizona"
"04000US05","Arkansas",2018,"2018",20.92146562656112,"arkansas"
"04000US06","California",2018,"2018",28.369882070487442,"california"
"04000US08","Colorado",2018,"2018",23.66579913958232,"colorado"
"04000US09","Connecticut",2018,"2018",25.31346851316132,"connecticut"
"04000US10","Delaware",2018,"2018",24.9048391122735,"delaware"
"04000US11","District of Columbia",2018,"2018",28.98987455552471,"district-of-columbia"
"04000US12","Florida",2018,"2018",26.293397838851448,"florida"
"04000US13","Georgia",2018,"2018",27.31846312157907,"georgia"
"04000US15","Hawaii",2018,"2018",26.151391066024576,"hawaii"
"04000US16","Idaho",2018,"2018",19.690298455803042,"idaho"
"04000US17","Illinois",2018,"2018",27.891543459139548,"illinois"
"04000US18","Indiana",2018,"2018",23.020816863631183,"indiana"
"04000US19","Iowa",2018,"2018",18.48476131728687,"iowa"
"04000US20","Kansas",2018,"2018",18.72510784943111,"kansas"
"04000US21","Kentucky",2018,"2018",22.51066435007771,"kentucky"
"04000US22","Louisiana",2018,"2018",25.445185230135323,"louisiana"
"04000US23","Maine",2018,"2018",22.62693526346613,"maine"
"04000US24","Maryland",2018,"2018",31.566666688407448,"maryland"
"04000US25","Massachusetts",2018,"2018",28.856266117743186,"massachusetts"
"04000US26","Michigan",2018,"2018",23.672946151516214,"michigan"
"04000US27","Minnesota",2018,"2018",22.340955760544617,"minnesota"
"04000US28","Mississippi",2018,"2018",24.33124979465782,"mississippi"
"04000US29","Missouri",2018,"2018",22.803890184563933,"missouri"
"04000US30","Montana",2018,"2018",17.199451800394733,"montana"
"04000US31","Nebraska",2018,"2018",17.85504394036643,"nebraska"
"04000US32","Nevada",2018,"2018",23.88763625200453,"nevada"
"04000US33","New Hampshire",2018,"2018",25.72920999740891,"new-hampshire"
"04000US34","New Jersey",2018,"2018",30.933937415279086,"new-jersey"
"04000US35","New Mexico",2018,"2018",21.79852485226238,"new-mexico"
"04000US36","New York",2018,"2018",32.45119775537868,"new-york"
"04000US37","North Carolina",2018,"2018",23.311726479895036,"north-carolina"
"04000US38","North Dakota",2018,"2018",17.07707221883614,"north-dakota"
"04000US39","Ohio",2018,"2018",22.569050222638715,"ohio"
"04000US40","Oklahoma",2018,"2018",21.19274118178611,"oklahoma"
"04000US41","Oregon",2018,"2018",22.042123274965682,"oregon"
"04000US42","Pennsylvania",2018,"2018",25.810357328704043,"pennsylvania"
"04000US44","Rhode Island",2018,"2018",24.073128417586517,"rhode-island"
"04000US45","South Carolina",2018,"2018",23.875438099137064,"south-carolina"
"04000US46","South Dakota",2018,"2018",16.271192115060128,"south-dakota"
"04000US47","Tennessee",2018,"2018",24.20731701402507,"tennessee"
"04000US48","Texas",2018,"2018",25.266632926388084,"texas"
"04000US49","Utah",2018,"2018",20.469231383928953,"utah"
"04000US50","Vermont",2018,"2018",21.833615958562003,"vermont"
"04000US51","Virginia",2018,"2018",27.113952449825458,"virginia"
"04000US53","Washington",2018,"2018",26.505097258891237,"washington"
"04000US54","West Virginia",2018,"2018",25.5546879618161,"west-virginia"
"04000US55","Wisconsin",2018,"2018",20.97334336172871,"wisconsin"
"04000US56","Wyoming",2018,"2018",15.221542451321804,"wyoming"
"04000US72","Puerto Rico",2018,"2018",29.59791332754212,"puerto-rico"
"04000US01","Alabama",2017,"2017",23.769892913418225,"alabama"
"04000US02","Alaska",2017,"2017",18.669900535751903,"alaska"
"04000US04","Arizona",2017,"2017",23.974197624872414,"arizona"
"04000US05","Arkansas",2017,"2017",20.789495859295634,"arkansas"
"04000US06","California",2017,"2017",27.984418002242172,"california"
"04000US08","Colorado",2017,"2017",23.708067744194796,"colorado"
"04000US09","Connecticut",2017,"2017",25.082182227221598,"connecticut"
"04000US10","Delaware",2017,"2017",25.097880588699567,"delaware"
"04000US11","District of Columbia",2017,"2017",28.56758484735468,"district-of-columbia"
"04000US12","Florida",2017,"2017",26.12521046049735,"florida"
"04000US13","Georgia",2017,"2017",27.114163879294466,"georgia"
"04000US15","Hawaii",2017,"2017",25.82262099414864,"hawaii"
"04000US16","Idaho",2017,"2017",19.847583782407987,"idaho"
"04000US17","Illinois",2017,"2017",27.66003795696753,"illinois"
"04000US18","Indiana",2017,"2017",22.623261376619954,"indiana"
"04000US19","Iowa",2017,"2017",18.428631254229266,"iowa"
"04000US20","Kansas",2017,"2017",18.23627570390278,"kansas"
"04000US21","Kentucky",2017,"2017",22.382975436824648,"kentucky"
"04000US22","Louisiana",2017,"2017",24.434471044614014,"louisiana"
"04000US23","Maine",2017,"2017",22.59047662471883,"maine"
"04000US24","Maryland",2017,"2017",31.716394899132435,"maryland"
"04000US25","Massachusetts",2017,"2017",28.25996613319789,"massachusetts"
"04000US26","Michigan",2017,"2017",23.299720039661047,"michigan"
"04000US27","Minnesota",2017,"2017",22.36168471151562,"minnesota"
"04000US28","Mississippi",2017,"2017",24.35165347110819,"mississippi"
"04000US29","Missouri",2017,"2017",22.544289951875495,"missouri"
"04000US30","Montana",2017,"2017",16.911895684931373,"montana"
"04000US31","Nebraska",2017,"2017",17.647929691693783,"nebraska"
"04000US32","Nevada",2017,"2017",23.16177115394076,"nevada"
"04000US33","New Hampshire",2017,"2017",25.60963854407388,"new-hampshire"
"04000US34","New Jersey",2017,"2017",30.612112070910722,"new-jersey"
"04000US35","New Mexico",2017,"2017",21.123293852097692,"new-mexico"
"04000US36","New York",2017,"2017",32.241366380700235,"new-york"
"04000US37","North Carolina",2017,"2017",23.356735385484328,"north-carolina"
"04000US38","North Dakota",2017,"2017",15.758888792901306,"north-dakota"
"04000US39","Ohio",2017,"2017",22.5502754180846,"ohio"
"04000US40","Oklahoma",2017,"2017",20.941096833396667,"oklahoma"
"04000US41","Oregon",2017,"2017",22.550166277959402,"oregon"
"04000US42","Pennsylvania",2017,"2017",25.70940414387995,"pennsylvania"
"04000US44","Rhode Island",2017,"2017",23.941612059423914,"rhode-island"
"04000US45","South Carolina",2017,"2017",23.434743284765585,"south-carolina"
"04000US46","South Dakota",2017,"2017",16.27782004509872,"south-dakota"
"04000US47","Tennessee",2017,"2017",23.92183187741584,"tennessee"
"04000US48","Texas",2017,"2017",25.162134294362993,"texas"
"04000US49","Utah",2017,"2017",20.50583817241224,"utah"
"04000US50","Vermont",2017,"2017",21.5694133136883,"vermont"
"04000US51","Virginia",2017,"2017",27.023658365724067,"virginia"
"04000US53","Washington",2017,"2017",26.09490619703739,"washington"
"04000US54","West Virginia",2017,"2017",25.10300605199179,"west-virginia"
"04000US55","Wisconsin",2017,"2017",21.076445528754054,"wisconsin"
"04000US56","Wyoming",2017,"2017",16.711368643536513,"wyoming"
"04000US72","Puerto Rico",2017,"2017",27.912711979572716,"puerto-rico"
"04000US01","Alabama",2016,"2016",23.779516859366712,"alabama"
"04000US02","Alaska",2016,"2016",17.03321903837885,"alaska"
"04000US04","Arizona",2016,"2016",23.693109090283375,"arizona"
"04000US05","Arkansas",2016,"2016",20.488701827081613,"arkansas"
"04000US06","California",2016,"2016",27.673040345808463,"california"
"04000US08","Colorado",2016,"2016",23.015981066540746,"colorado"
"04000US09","Connecticut",2016,"2016",24.917663714553353,"connecticut"
"04000US10","Delaware",2016,"2016",24.965680370993482,"delaware"
"04000US11","District of Columbia",2016,"2016",28.964823690516948,"district-of-columbia"
"04000US12","Florida",2016,"2016",25.80155603464388,"florida"
"04000US13","Georgia",2016,"2016",26.911333783443478,"georgia"
"04000US15","Hawaii",2016,"2016",26.03270607422707,"hawaii"
